(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
(methyl)phosphonate + ATP -> α-D-ribose-1-(methyl)phosphonate-5-triphosphate + adenine	104 718 	1598 597 
(polyphosphate)(n) + H2O = (polyphosphate)(n-1) + phosphate	1599 1066 	1599 1354 
(R)-2,3-dihydroxy-3-methylpentanoate -> (S)-3-methyl-2-oxopentanoate + H2O	105	126 1066 
(R)-2,3-dihydroxy-3-methylpentanoate + NADP+ <- (S)-2-aceto-2-hydroxybutanoate + NADPH + H+	122 1301 1064 	105 1300 
(R)-4'-phosphopantothenoyl-L-cysteine + H+ = 4'-phosphopantetheine + CO2	107 1064 	391 834 
(R)-glycerate + ATP -> 2-phospho-D-glycerate + ADP + H+	108 718 	285 616 1064 
(R)-glycerate + NAD(P)+ = hydroxypyruvate + NAD(P)H + H+	108 1600 	1083 1601 1064 
(R)-glycerate + NAD(P)+ <- tartronate semialdehyde + NAD(P)H + H+	1471 1601 1064 	108 1600 
(R)-glycerate + NAD+ <- tartronate semialdehyde + NADH + H+	1471 1299 1064 	108 1298 
(R)-glycerate + NAD+ <=> hydroxypyruvate + NADH + H+	108 1298 	1083 1299 1064 
(R)-glycerate + NADP+ = hydroxypyruvate + NADPH + H+	108 1300 	1083 1301 1064 
(R)-lactate + NAD+ <- pyruvate + NADH + H+	1401 1299 1064 	110 1298 
(R)-lactate[in] + a ubiquinone[membrane] -> pyruvate[in] + an ubiquinol[membrane]	110 1602 	1401 1603 
(R)-methylmalonyl-CoA <- succinyl-CoA	1464	112
(R)-methylmalonyl-CoA + H+ -> propanoyl-CoA + CO2	112 1064 	1382 834 
(R)-NADHX -> (S)-NADHX	113	134
(R)-NADPHX -> (S)-NADPHX	114	135
(R)-pantoate + NADP+ <- 2-dehydropantoate + NADPH + H+	246 1301 1064 	115 1300 
(R)-pantothenate + ATP -> (R)-4'-phosphopantothenate + ADP + H+	116 718 	106 616 1064 
(R)-propane-1,2-diol + NAD+ = (R)-lactaldehyde + NADH + H+	117 1298 	109 1299 1064 
(R)-S-lactoylglutathione <- methylglyoxal + glutathione	1222 1027 	118
(R)-S-lactoylglutathione + H2O -> glutathione + (R)-lactate + H+	118 1066 	1027 110 1064 
(ribonucleotides)(n) + phosphate = (ribonucleotides)(n-1) + a nucleoside diphosphate	1604 1354 	1604 1605 
(S)-(+)-allantoin + H2O -> allantoate + H+	119 1066 	637 1064 
(S)-1-pyrroline-5-carboxylate + H+ + H2O <=> L-glutamate-5-semialdehyde	120 1064 1066 	1158
(S)-1-pyrroline-5-carboxylate + NAD+ + 2 H2O -> L-glutamate + NADH + H+	120 1298 1066 	1157 1299 1064 
(S)-1-pyrroline-5-carboxylate[in] + 3 H+[in] + 2 e-[membrane] -> L-proline[in]	120 1064 1606 	1175
(S)-2,3,4,5-tetrahydrodipicolinate + H+ + H2O <=> L-α-amino-ε-keto-pimelate	121 1064 1066 	1607
(S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O <- (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+	37 1601 1064 	121 1600 1066 
(S)-2,3,4,5-tetrahydrodipicolinate + succinyl-CoA + H2O -> N-succinyl-2-amino-6-ketopimelate + coenzyme A	121 1464 1066 	1278 856 
(S)-2-acetolactate + an oxidized electron acceptor + H+ -> diacetyl + CO2 + a reduced electron acceptor	123 1608 1064 	944 834 1609 
(S)-4-amino-5-oxopentanoate -> 5-aminolevulinate	127	446
(S)-4-amino-5-oxopentanoate + a tRNAglu + NADP+ <- an L-glutamyl-[tRNAGlu] + NADPH + H+	1611 1301 1064 	127 1610 1300 
(S)-4-hydroxy-2-oxopentanoate <- (2Z)-2-hydroxypenta-2,4-dienoate + H2O	40 1066 	128
(S)-4-hydroxy-2-oxopentanoate -> (2Z)-2,4-dihydroxypent-2-enoate	128	38
(S)-4-hydroxy-2-oxopentanoate -> acetaldehyde + pyruvate	128	589 1401 
(S)-5-hydroxyisourate + H2O -> (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+	129 1066 	125 1064 
(S)-dihydroorotate + H2O <- N-carbamoyl-L-aspartate + H+	1274 1064 	130 1066 
(S)-dihydroorotate[in] + a menaquinone[membrane] -> orotate[in] + a menaquinol[membrane]	130 1612 	1329 1613 
(S)-dihydroorotate[in] + a ubiquinone[membrane] -> orotate[in] + an ubiquinol[membrane]	130 1602 	1329 1603 
(S)-dihydroorotate[in] + an electron-transfer quinone[membrane] -> orotate[in] + an electron-transfer quinol[membrane]	130 1614 	1329 1615 
(S)-lactate + NAD+ <- pyruvate + NADH + H+	1401 1299 1064 	132 1298 
(S)-lactate[periplasm] + H+[periplasm] <=> (S)-lactate[cytosol] + H+[cytosol]	132 1064 	132 1064 
(S)-malate <=> fumarate + H2O	133	997 1066 
(S)-malate + a menaquinone = oxaloacetate + a menaquinol	133 1612 	1332 1613 
(S)-malate + NAD+ -> pyruvate + CO2 + NADH	133 1298 	1401 834 1299 
(S)-malate + NAD+ <=> oxaloacetate + NADH + H+	133 1298 	1332 1299 1064 
(S)-malate + NADP+ -> pyruvate + CO2 + NADPH	133 1300 	1401 834 1301 
(S)-malate + NADP+ <=> oxaloacetate + NADPH + H+	133 1300 	1332 1301 1064 
(S)-malate[in] + an electron-transfer quinone[membrane] -> oxaloacetate[in] + an electron-transfer quinol[membrane]	133 1614 	1332 1615 
(S)-NADHX + ADP = AMP + NADH + phosphate + H+	134 616 	707 1299 1354 1064 
(S)-NADPHX + ADP = AMP + NADPH + phosphate + H+	135 616 	707 1301 1354 1064 
(S)-propane-1,2-diol + NAD+ <=> (S)-lactaldehyde + NADH + H+	136 1298 	131 1299 1064 
(S)-ureidoglycine + H2O -> (S)-ureidoglycolate + ammonium	137 1066 	138 706 
(S)-ureidoglycolate -> urea + glyoxylate	138	1531 1055 
(S)-ureidoglycolate + NAD(P)+ -> N-carbamoyl-2-oxoglycine + NAD(P)H + H+	138 1600 	1273 1601 1064 
(S)-ureidoglycolate + NAD+ -> N-carbamoyl-2-oxoglycine + NADH + H+	138 1298 	1273 1299 1064 
(Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O -> (Z)-2-phenyl-1-thioacetohydroximate + pyruvate + ammonium + H+	139 1066 	142 1401 706 1064 
(Z)-2-methylureidoacrylate peracid + H+ + H2O -> (Z)-2-methyl-peroxyaminoacrylate + ammonium + CO2	141 1064 1066 	140 706 834 
(Z)-2-methylureidoacrylate peracid + H2O -> (Z)-2-methyl-peroxyaminoacrylate + carbamate + H+	141 1066 	140 809 1064 
(Z)-3-peroxyaminoacrylate + a reduced electron acceptor -> aminoacrylate + an oxidized electron acceptor + H2O + H+	143 1609 	704 1608 1066 1064 
(Z)-3-ureidoacrylate peracid + H+ + H2O -> (Z)-3-peroxyaminoacrylate + ammonium + CO2	144 1064 1066 	143 706 834 
(Z)-3-ureidoacrylate peracid + H2O -> carbamate + (Z)-3-peroxyaminoacrylate + H+	144 1066 	809 143 1064 
(Z)-3-ureidoacrylate peracid + NADH -> 3-ureidoacrylate + NAD+ + H2O	144 1299 	379 1298 1066 
1,4-dihydroxy-2-naphthoyl-CoA + H2O -> 1,4-dihydroxy-2-naphthoate + coenzyme A + H+	150 1066 	149 856 1064 
1,6-anhydro-N-acetyl-β-muramate + ATP + H2O -> N-acetyl-D-muramate 6-phosphate + ADP + H+	151 718 1066 	1263 616 1064 
1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H+ -> (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O	153 1064 	9 834 1066 
1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate + H2O -> an L-1-phosphatidyl-sn-glycerol + phosphate	1616 1066 	1617 1354 
1-(5-phospho-β-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide -> phosphoribulosylformimino-AICAR-phosphate	154	1358
1-(5-phospho-β-D-ribosyl)-AMP + H2O -> 1-(5-phospho-β-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	155 1066 	154
1-(5-phospho-β-D-ribosyl)-ATP + diphosphate <- ATP + 5-phospho-α-D-ribose 1-diphosphate + H+	718 1618 1064 	156 955 
1-(5-phospho-β-D-ribosyl)-ATP + H2O -> 1-(5-phospho-β-D-ribosyl)-AMP + diphosphate + 2 H+	156 1066 	155 955 1064 
1-(6-sulfo-α-D-quinovosyl)glycerol + H2O -> 6-sulfo-α-D-quinovose + glycerol	1619 1066 	1620 1031 
1-(β-D ribofuranosyl)nicotinamide + ATP -> β-nicotinamide D-ribonucleotide + ADP + H+	158 718 	792 616 1064 
1-(β-D ribofuranosyl)nicotinamide[periplasm] -> 1-(β-D ribofuranosyl)nicotinamide[cytosol]	158	158
1-butanesulfonate + FMNH2 + oxygen -> butan-1-al + sulfite + FMN + H2O + 2 H+	159 993 1336 	801 1469 992 1066 1064 
1-chloro-2,4-dinitrobenzene + glutathione -> 2,4-dinitrophenyl-S-glutathione + chloride + H+	161 1027 	217 820 1064 
1-deoxy-D-xylulose 5-phosphate + 2-iminoacetate + a thiocarboxy-[ThiS-Protein] -> 2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + a ThiS sulfur-carrier protein + 2 H2O	164 254 1621 	291 1622 1066 
1-deoxy-D-xylulose 5-phosphate + 3-amino-1-hydroxyacetone 1-phosphate -> pyridoxine 5'-phosphate + phosphate + H+ + 2 H2O	164 310 	1399 1354 1064 1066 
1-methyl-dAMP + 2-oxoglutarate + oxygen -> dAMP + formaldehyde + succinate + CO2	167 280 1336 	925 994 1462 834 
1-methyl-dATP + 2-oxoglutarate + oxygen -> dATP + formaldehyde + succinate + CO2	168 280 1336 	926 994 1462 834 
1-palmitoyl-2-linoleoyl-phosphatidylcholine + H2O -> 1-linoleoyl-sn-glycero-3-phosphocholine + palmitate + H+	174 1066 	166 1338 1064 
1-palmitoyl-sn-glycerol 3-phosphate + a myristoyl-[acp] -> 1-palmitoyl-2-myristoyl phosphatidate + acyl-carrier protein	177 1623 	175 1624 
1-palmitoyl-sn-glycerol 3-phosphate + myristoyl-CoA -> 1-palmitoyl-2-myristoyl phosphatidate + coenzyme A	177 1238 	175 856 
10-formyl-tetrahydropteroyl-[γ-Glu](n) + L-glutamate + ATP -> 10-formyl-tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate	1625 1157 718 	1625 616 1354 
13-[O(2')-β-D-glucopyranosyl-β-D-glucopyranosyloxy]docosanoate O(6'')-acetate + H2O -> sophorosyloxydocosanoate + acetate + H+	187 1066 	1456 591 1064 
13-sophorosyloxydocosanoate 6',6''-diacetate + H2O -> 13-[O(2')-β-D-glucopyranosyl-β-D-glucopyranosyloxy]docosanoate O(6'')-acetate + acetate + H+	186 1066 	187 591 1064 
16-hydroxypalmitate + ATP + coenzyme A = 16-hydroxypalmitoyl-CoA + AMP + diphosphate	188 718 856 	189 707 955 
18-hydroxylinoleoyl-CoA + 1-(18-hydroxyoleoyl)-sn-glycrol 3-phosphate = 1-[18-hydroxyoeoyl]-2-[18-hydroxy-lioleoyl]-sn-glycerol 3-phosphate + coenzyme A	190 152 	184 856 
18-hydroxyoleate + ATP + coenzyme A = 18-hydroxyoleoyl-CoA + AMP + diphosphate	191 718 856 	192 707 955 
18-hydroxyoleoyl-CoA + sn-glycerol 3-phosphate = 1-(18-hydroxyoleoyl)-sn-glycrol 3-phosphate + coenzyme A	192 1455 	152 856 
18-hydroxystearate + ATP + coenzyme A = 18-hydroxystearoyl-CoA + AMP + diphosphate	193 718 856 	194 707 955 
1D-myo-inositol 1-monophosphate + H2O -> myo-inositol + phosphate	195 1066 	1237 1354 
1D-myo-inositol 2-monophosphate + H2O -> myo-inositol + phosphate	196 1066 	1237 1354 
1D-myo-inositol 3-monophosphate + H2O -> myo-inositol + phosphate	197 1066 	1237 1354 
1D-myo-inositol 4-monophosphate + H2O -> myo-inositol + phosphate	198 1066 	1237 1354 
1D-myo-inositol 5-monophosphate + H2O -> myo-inositol + phosphate	199 1066 	1237 1354 
1D-myo-inositol 6-monophosphate + H2O -> myo-inositol + phosphate	200 1066 	1237 1354 
2 5-aminolevulinate -> porphobilinogen + H+ + 2 H2O	446	1364 1064 1066 
2 6,7-dimethyl-8-(1-D-ribityl)lumazine + H+ -> 5-amino-6-(D-ribitylamino)uracil + riboflavin	479 1064 	445 1408 
2 a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine -> a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	1626	1627
2 a peptidoglycan dimer (E. faeciums) + H+ -> a peptidoglycan tetramer with a D,D cross-link (Enterococcus faecium) + D-alanine	550 1064 	553 880 
2 a peptidoglycan dimer (meso-diaminopimelate containing) -> a peptidoglycan with D,D cross-links (meso-diaminopimelate containing) + D-alanine	551	555 880 
2 a peptidoglycan dimer (S. aureus) -> a peptidoglycan with D,D cross-link (S. aureus) + D-alanine	552	554 880 
2 a reduced ferredoxin [iron-sulfur] cluster + NADP+ + H+ <=> 2 an oxidized ferredoxin [iron-sulfur] cluster + NADPH	1628 1300 1064 	1629 1301 
2 a reduced ferredoxin [iron-sulfur] cluster[out] + NADP+[out] + H+[out] <=> 2 an oxidized ferredoxin [iron-sulfur] cluster[out] + NADPH[out]	1628 1300 1064 	1629 1301 
2 acetyl-CoA <=> acetoacetyl-CoA + coenzyme A	595	593 856 
2 an electron-transfer quinol[membrane] + oxygen[in] + 5 H+[in] -> 2 an electron-transfer quinone[membrane] + 5 H+[out] + 2 H2O[in]	1615 1336 1064 	1614 1064 1066 
2 an L-1-phosphatidyl-sn-glycerol -> a cardiolipin + glycerol	1617	1630 1031 
2 an ubiquinol[membrane] + oxygen[in] + 4 H+[in] -> 2 a ubiquinone[membrane] + 4 H+[out] + 2 H2O[in]	1603 1336 1064 	1602 1064 1066 
2 an ubiquinol[membrane] + oxygen[in] + 5 H+[in] -> 2 a ubiquinone[membrane] + 2 H2O[in] + 5 H+[out]	1603 1336 1064 	1602 1066 1064 
2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide -> 2 adenosylcobinamide + 2 triphosphate + 2 a [corrinoid adenosyltransferase]	718 1574 	610 1495 1631 
2 ATP + 2 cob(I)yrinate a,c-diamide-[corrinoid adenosyltranferase] -> 2 adenosyl-cob(III)yrinate a,c-diamide + 2 triphosphate + 2 a [corrinoid adenosyltransferase]	718 851 	606 1495 1631 
2 ATP + 2 cob(II)alamin + a [reduced flavoprotein] -> 2 adenosylcobalamin + 2 triphosphate + an [oxidized flavoprotein] + 2 H+	718 852 1632 	608 1495 1633 1064 
2 ATP + 2 cob(II)alamin-[CblC-CblD complex] + a [reduced flavoprotein] + 2 an apo-["base-off/His-on" B12-enzyme] -> 2 a holo-["base-off/His-on" B12-enzyme] + 2 triphosphate + an [oxidized flavoprotein] + 2 a [cyanocobalamin reductase CblC] + 2 a [cobalamin trafficking protein CblD]	718 1634 1632 1635 	1636 1495 1633 1637 1638 
2 ATP + 2 cob(II)alamin-[CblC-CblD complex] + a [reduced flavoprotein] + 2 methylmalonyl-CoA mutase -> 2 adenosylcobalamin-[methylmalonyl-CoA mutase] + 2 triphosphate + an [oxidized flavoprotein] + 2 a [cyanocobalamin reductase CblC] + 2 a [cobalamin trafficking protein CblD]	718 1634 1632 1639 	1640 1495 1633 1637 1638 
2 ATP + 2 cob(II)inamide + a [reduced flavoprotein] -> 2 adenosylcobinamide + 2 triphosphate + an [oxidized flavoprotein] + 2 H+	718 853 1632 	610 1495 1633 1064 
2 ATP + 2 cob(II)yrinate a,c-diamide + a [reduced flavoprotein] -> 2 adenosyl-cob(III)yrinate a,c-diamide + 2 triphosphate + an [oxidized flavoprotein] + 2 H+	718 854 1632 	606 1495 1633 1064 
