category	name	ro	istrim	autotrim	dbvalidated	count	json
perfect	alcohol_cytidinylation_to_nucleotide_sugar	[H][#8:10]-[#6:9]>>[H][#8]-c1nc(=[#7][H])c([H])c([H])n1C1([H])[#8]C([H])(C([H])([H])[#8]P(=O)([#8][H])[#8:10]-[#6:9])C([H])([#8][H])C1([H])[#8][H]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""alcohol_cytidinylation_to_nucleotide_sugar"",""validation"":true}"
perfect	alcohol_phosphorylation_to_pyrophosphate	[H][#8:5]-[#6:4]>>[H][#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8:5]-[#6:4]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""alcohol_phosphorylation_to_pyrophosphate"",""validation"":true}"
perfect		[H][#8:20]-[c:19]1[c:18][c:16][c:15][c:13][c:12]1-[#6:1](=[O:21])-[#6:2](\[H])=[#6:3]\[c:4]1[c:5][c:6][c:7][c:9][c:11]1>>[O:21]=[#6:1]-1\[#6:2](-[#8:20]-[c:19]2[c:18][c:16][c:15][c:13][c:12]-12)=[#6:3]\[c:4]1[c:5][c:6][c:7][c:9][c:11]1.[H][#8]-c1c([H])c2-[#8]-[#6](=[#6]([H])-c3c([H])c(-[#8][H])c(-[#8][H])c(-[#8][H])c3[H])-[#6](=O)-c2c(-[#8][H])c1[H]	FALSE	FALSE	null	-1	"{""note"":""chalcone condensation reaction, probably not simplifyable"",""trim"":false,""confidence"":""high"",""validation"":true}"
perfect	alkene_peroxidation	[#6:17]-[#6:16]=[#6:15]>>[#6:17]-[#6:16](=[#6:15])-[#8]-[#8]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""alkene_peroxidation"",""validation"":true}"
perfect	oxime_methylation	[H][#8:7]-[#7:5]=[#6:4]>>[H]C([H])([H])[#8:7]-[#7:5]=[#6:4]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""oxime_methylation"",""validation"":true}"
perfect		[H][#8:18]-[#6:17]>>[H][#8]C([H])([H])C1([H])[#8]C([H])([#8][H])C([H])([#8][H])C([H])([#8:18]-[#6:17])C1([H])[#8][H]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""validation"":true}"
perfect	alcohol_glycosidation_with_pentopyranose	[H][#8:21]-[#6:20]>>[H][#8]C1([H])C([H])([H])[#8]C([H])([#8:21]-[#6:20])C([H])([#8][H])C1([H])[#8][H]	FALSE	FALSE	null	-1	"{""note"":""other ROs should trim to this one"",""trim"":false,""confidence"":""high"",""name"":""alcohol_glycosidation_with_pentopyranose"",""validation"":true}"
perfect		[H][#8:22]-[#6:1]=[O:2]>>[H][#8]-[#6](=O)C1([H])[#8]C([H])([#8:22]-[#6:1]=[O:2])C([H])([#8][H])C([H])([#8][H])C1([H])[#8][H]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""validation"":true}"
perfect	acid_phosphate_and_alcohol_transesterification	[#6:2]-[#6:4](=[O:5])-[#8:6][P:12]([#8:13])([#8:14])=[O:15].[#6:17]-[#8:16]>>[#6:2]-[#6:4](-[#8:5])=[O:6].[#6:17]-[#8:16][P:12]([#8:13])([#8:14])=[O:15]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""acid_phosphate_and_alcohol_transesterification"",""validation"":true}"
perfect	thiol_methylation_to_thioether	[H][#16:4]-[#6:3]>>[H]C([H])([H])[#16:4]-[#6:3]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""thiol_methylation_to_thioether"",""validation"":true}"
validated		[H][#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8:14]-[#15:11]=[O:13]>>[H][#8:14]-[#15:11]=[O:13]	FALSE	FALSE	null	-1	"{""note"":""could be a one step or a two step. product being phosphate suggests it's two sequential hydrolysis reactions, but could also be phophodiesterase hitting the pyrophosphate product. Going to consider it as a unique ERO, because I think the code will be very complicated in trying to explain a reaction that is several sequential EROs"",""trim"":false,""confidence"":""high"",""aam"":true,""twostep"":true,""validation"":true}"
validated	primary_amine_methylation_to_secondary_amine	[H][#7:12]-[#6:1]>>[H]C([H])([H])[#7:12]-[#6:1].[H][#8]-[#6](=O)C([H])([#7]([H])[H])C([H])([H])C([H])([H])[#16]C([H])([H])C1([H])[#8]C([H])(n2c([H])nc3c(nc([H])nc23)-[#7]([H])[H])C([H])([#8][H])C1([H])[#8][H]	FALSE	FALSE	null	-1	"{""note"":""Another adomet inchi here"",""trim"":false,""confidence"":""high"",""cofactor"":true,""name"":""primary_amine_methylation_to_secondary_amine"",""validation"":true}"
validated	alcohol_oxidation_to_hydrate	[#6:11]-[#6:13]-[#8:14]>>[#6:11]-[#6:13](-[#8:14])-[#8]	FALSE	FALSE	null	-1	"{""note"":""Nothing wrong with this reaction, but the product hydrate is not really the product, would collapse to an aldehdye which either should be altered here (favored), or need to include a spontanous hydrate-->aldehyde reaction (unfavored)"",""trim"":false,""tautomer"":true,""confidence"":""high"",""name"":""alcohol_oxidation_to_hydrate"",""validation"":true}"
validated		[H][#8]-[#6](=O)-[#6:1]-[c:2]1[c:3][c:4][c:6][c:7]([H])[c:8]1.[H][#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8][C:40]([H])([H])[#6:31]=[#6:29]>>[H][C:40]([H])([H])[c:7]1[c:6][c:4][c:3][c:2](-[#6:1]-[#6:31]=[#6:29])[c:8]1	FALSE	FALSE	null	-1	"{""note"":""I think this is valid, but very unusual, not simplifyable"",""trim"":false,""confidence"":""low"",""validation"":true}"
perfect	alpha_keto_alcohol_isomerization	[H][#8:3][C:2]([H])([#6:4])[#6:1]=[O:13]>>[H][#8:13]-[#6:1]([H])-[#6:2](-[#6:4])=[O:3]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alpha_keto_alcohol_isomerization"",""validation"":true}"
perfect	alpha_keto_alcohol_rearrangement	[H][#8:11]-[#6:10]([H])-[#6:8](-[#6:6])=[O:9]>>[H][#8:9][C:8]([H])([#6:6])[#6:10]=[O:11].[H][#8]C([H])([H])C([H])([#8][H])C([H])([#8][H])C([H])([#8][H])C([H])([#8][H])[#6]([H])=O	null	FALSE	null	-1	"{""note"":""another RO has the same reaction, potentially the position of the methyl group is reversed...or a duplicate for unknown reasons"",""confidence"":""high"",""name"":""alpha_keto_alcohol_rearrangement"",""validation"":true}"
perfect	alkyl_amine_transamination_to_aldehyde	[H][#7]([H])-[#6:5]([H])-[#6:1]>>[#6:1]-[#6:5]=O	null	FALSE	null	-1	"{""note"":""transamination of an amine with not helper groups to an aldehyde"",""confidence"":""high"",""name"":""alkyl_amine_transamination_to_aldehyde"",""validation"":true}"
perfect	thioether_oxidation_to_sulfoxide	[#6:6]-[#16:7]-[#6:8]>>[#6:6][S:7]([#6:8])=O	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""thioether_oxidation_to_sulfoxide"",""validation"":true}"
perfect	peroxide_reduction_to_alcohol	[#6:1]-[#8:3]-[#8]>>[#6:1]-[#8:3]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""peroxide_reduction_to_alcohol"",""validation"":true}"
perfect	primary_amine_propionylation	[H][#7:22]([H])-[#6:21]>>[H][#8]-[#6](=[#7:22]-[#6:21])C([H])([H])C([H])([H])[H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""primary_amine_propionylation"",""validation"":true}"
perfect	primary_amine_acetyltransferase	[H][#7:6]([H])-[#6:1]>>[H][#8]-[#6](=[#7:6]-[#6:1])C([H])([H])[H]	null	FALSE	null	-1	"{""note"":""many leave out acetyl-CoA"",""confidence"":""high"",""name"":""primary_amine_acetyltransferase"",""validation"":true}"
perfect		[#8:14]-[#7:15]-[c:1]1[c:6][c:5][c:4][c:3][c:2]1>>[#7:15]-[c:1]1[c:6][c:5][c:4][c:3][c:2]1-[#8:14]	null	FALSE	null	-1	"{""note"":""this is balanced and plausible, but not familiar with mechanism"",""confidence"":""med"",""validation"":true}"
perfect	aldehyde_reduction_to_primary_alcohol	[#6:2]-[#6:1]=[O:12]>>[H][#8:12]-[#6:1]([H])-[#6:2]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""aldehyde_reduction_to_primary_alcohol"",""validation"":true}"
perfect	vicinal_diol_rearrangement_to_ketone	[H][#8]-[#6:3](-[#6:2])[C:4]([H])([#8:5][H])[#6:6]=[O:7]>>[H][#6:3](-[#6:2])-[#6:4](=[O:5])-[#6:6]=[O:7]	null	FALSE	null	-1	"{""note"":""I think this is real, is oxidatively balanced, but not sure what context constraints are required or how mechanistically this occurs"",""confidence"":""med"",""name"":""vicinal_diol_rearrangement_to_ketone"",""validation"":true}"
perfect	oxime_to_nitrile	[H][#8]\[#7:6]=[#6:5](/[H])-[#6:4]>>[#6:4][C:5]#[N:6]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""oxime_to_nitrile"",""validation"":true}"
perfect	oxime_to_nitrile	[H][#8]\[#7:14]=[#6:1](\[H])-[#6:2]>>[#6:2][C:1]#[N:14]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""oxime_to_nitrile"",""validation"":true}"
perfect	alkyl_chloride_hydrolysis_to_alcohol	[#6:1]-[#6:4]Cl>>[H][#8]-[#6:4]-[#6:1]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alkyl_chloride_hydrolysis_to_alcohol"",""validation"":true}"
perfect	alcohol_phosphorylation_atypical1	[#6:1]-[#8:12].[#8:27][P:26]([#8:28])(=[O:29])[#8:25]-[#15:22]=[O:24]>>[#6:1]-[#8:12][P:26]([#8:27])([#8:28])=[O:29].[#8:25]-[#15:22]=[O:24]	null	FALSE	null	-1	"{""note"":""kinases with an atypical phosphate source. Must be a diphosphate, but either an atypical nucleotide or polyphosphate, or abasic nucleotide, etc."",""confidence"":""high"",""name"":""alcohol_phosphorylation_atypical1"",""validation"":true}"
perfect	alkyl_phosphate_transesterification	[#6:1]-[#8:9].[#6:4]-[#8:5][P:10]([#8:11])([#8:12])=[O:13]>>[#6:4]-[#8:5].[#6:1]-[#8:9][P:10]([#8:11])([#8:12])=[O:13]	null	FALSE	null	-1	"{""note"":""includes the test reaction for testing SkeletonMapper.  Is a phosphate moving from one alcohol to another"",""confidence"":""high"",""name"":""alkyl_phosphate_transesterification"",""validation"":true}"
perfect	oxidation_to_ene_one	[H][#8:13][C:12]([H])([#6:14])[#6:11]([H])-[#6:10](\[#6:16])=[#6:9]\[#6:8]>>[H][#6:9](-[#6:8])-[#6:10](\[#6:16])=[#6:11]\[#6:12](-[#6:14])=[O:13]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""oxidation_to_ene_one"",""validation"":true}"
perfect	guanidino_phosphate_transesterification_to_guanidino	[H][#8]P(=O)([#8][H])[#7:8]-[#6:6](-[#7:1])=[#7:7]>>[H][#7:7]-[#6:6](-[#7:1])=[#7:8]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""guanidino_phosphate_transesterification_to_guanidino"",""validation"":true}"
perfect	peroxide_dissociation_to_alcohol_and_ketone	[#6:10]-[#8:25]-[#8:13]-[#6:12](-[#6:11])-[#6:14]>>[#6:10]-[#8:25].[#6:11]-[#6:12](-[#6:14])=[O:13]	null	FALSE	null	-1	"{""note"":""This should be constrained to being in a ring, I'd be wary of validating based on this, and certainly needs the ring for any synthesis"",""confidence"":""med"",""name"":""peroxide_dissociation_to_alcohol_and_ketone"",""validation"":true}"
perfect	alcohol_acylation_from_coa_to_ester	[H][#8:31]-[#6:1].[H][#8]-[#6](=[#7]C([H])([H])C([H])([H])[#16]-[#6:80](-[#6:82])=[O:81])C([H])([H])C([H])([H])[#7]=[#6](-[#8][H])C([H])([#8][H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8]C([H])([H])C1([H])[#8]C([H])(n2c([H])nc3c(nc([H])nc23)-[#7]([H])[H])C([H])([#8][H])C1([H])[#8]P(=O)([#8][H])[#8][H]>>[#6:1]-[#8:31]-[#6:80](-[#6:82])=[O:81]	null	FALSE	null	-1	"{""note"":""transfer of an acyl chain from an acyl-coA to an alcohol to generate the ester and free CoA, with the exception of acetyl-coA which is another ERO"",""confidence"":""high"",""name"":""alcohol_acylation_from_coa_to_ester"",""validation"":true}"
perfect	allylic_rearrangement	[#6:15]-[#6:14]\[#6:13](-[#6:12])=[#6:24](\[#6:25])-[#6:22]>>[#6:15]\[#6:14]=[#6:13](\[#6:12])-[#6:24](-[#6:22])-[#6:25]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""allylic_rearrangement"",""validation"":true}"
perfect	alcohol_sulfation	[#6:10]-[#8:11]>>[#6:10]-[#8:11]S([#8])(=O)=O	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alcohol_sulfation"",""validation"":true}"
perfect	oxime_sulfation	[#8:23]-[#7:22]=[#6:1]>>[#8]S(=O)(=O)[#8:23]-[#7:22]=[#6:1]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""oxime_sulfation"",""validation"":true}"
perfect	phosphodiester_hydrolysis_to_phosphates	[H][#8]P(=O)([#8][H])[#8:13]-[#15:10]=[O:12]>>[H][#8:13]-[#15:10]=[O:12]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""phosphodiester_hydrolysis_to_phosphates"",""validation"":true}"
perfect	aromatic_amino_acid_elimination_to_phenylpropanoid	[H][#7]([H])-[#6:3](-[#6:1]=[O:2])-[#6:4]([H])-[c:5]1[c:6][c:7][c:8][c:9][c:10]1>>[O:2]=[#6:1]\[#6:3]=[#6:4]\[c:5]1[c:6][c:7][c:8][c:9][c:10]1	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""aromatic_amino_acid_elimination_to_phenylpropanoid"",""validation"":true}"
perfect		[O:9]=[#6:1]-[c:2]1[c:8][c:6][c:5][c:4][c:3]1>>[H][#8:9]-[#6:1](-[#6](=O)C([H])([H])C([H])([H])[#6](=O)-[#8][H])-[c:2]1[c:3][c:4][c:5][c:6][c:8]1	null	FALSE	null	-1	"{""usero"":""TRUE"",""confidence"":""high"",""validation"":true}"
perfect	arylamine_glycosidation_with_hexopyranose	[H][#7:9]-[c:1]1[c:2][c:3][c:5][c:6][c:7]1>>[H][#8]C([H])([H])C1([H])[#8]C([H])([#7:9]-[c:1]2[c:2][c:3][c:5][c:6][c:7]2)C([H])([#8][H])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""arylamine_glycosidation_with_hexopyranose"",""validation"":true}"
perfect	allylic_methylation	[H][#6:30]-[#6:28](-[#6:29])=[#6:27]-[#6:26]>>[H]C([H])([H])[#6:27](-[#6:26])-[#6:28](-[#6:29])=[#6:30]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""allylic_methylation"",""validation"":true}"
perfect	amide_hydrolysis_to_amine_and_acid	[#6:5]\[#7:10]=[#6:2](/[#6:1])-[#8:3]>>[H][#7:10]([H])-[#6:5].[#6:1]-[#6:2](-[#8:3])=O	null	FALSE	null	-1	"{""note"":""For some reason all examples are lactams, but that is not a chemical constraint, and the acylic variant is a normal bio rxn"",""confidence"":""high"",""name"":""amide_hydrolysis_to_amine_and_acid"",""validation"":true}"
perfect	ammonium_amide_hydrolysis	[H][#7]=[#6:6](-[#6:4])-[#8:7]>>[#6:4]-[#6:6](-[#8:7])=O	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""ammonium_amide_hydrolysis"",""validation"":true}"
perfect	urea_hydrolysis_to_carboxamate	[H][#7]=[#6:4](-[#7:3])-[#8:5]>>[#7:3]-[#6:4](-[#8:5])=O	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""urea_hydrolysis_to_carboxamate"",""validation"":true}"
perfect	acid_glucuronidation	[H][#8:5]-[#6:4](-[#6:3])=[O:6]>>[H][#8]-[#6](=O)C1([H])[#8]C([H])([#8:6]-[#6:4](-[#6:3])=[O:5])C([H])([#8][H])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""acid_glucuronidation"",""validation"":true}"
perfect	guanidine_phosphorylation	[H][#7:7]-[#6:6](-[#7:1])=[#7:8]>>[H][#8]P(=O)([#8][H])[#7:8]-[#6:6](-[#7:1])=[#7:7]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""guanidine_phosphorylation"",""validation"":true}"
perfect	allylic_addition_of_peroxide	[#6:7]\[#6:8]=[#6:9]/[#6:10]-[#6:11]=[#6:12]>>[#6:7]-[#6:8](-[#8]-[#8])\[#6:9]=[#6:10]\[#6:11]=[#6:12]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""allylic_addition_of_peroxide"",""validation"":true}"
perfect	hydryoxyl_migration_1	[#6:1][C:3]([#8:12])([#6:4]-[#6:5]=[O:7])[#6:8]=[O:10]>>[#6:1]-[#6:3](-[#6:8]=[O:10])-[#6:4](-[#8:12])-[#6:5]=[O:7]	null	FALSE	null	-1	"{""note"":""I don't doubt the reaction, but the constraints on context are unclear, but the context is large here, so likely fine for validation.  The examples are all consistant with the hydroxyl moving, but that may not be the correct mechanism in all cases"",""confidence"":""med"",""name"":""hydryoxyl_migration_1"",""validation"":true}"
perfect	acid_and_coa_esteriification_to_thioester	[#6:2]-[#6:1](-[#8:10])=[O:11]>>[H][#8]-[#6](=[#7]C([H])([H])C([H])([H])[#6](-[#8:10])=[#7]C([H])([H])C([H])([H])[#16]-[#6:1](-[#6:2])=[O:11])C([H])([#8][H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8]C([H])([H])C1([H])[#8]C([H])(n2c([H])nc3c(nc([H])nc23)-[#7]([H])[H])C([H])([#8][H])C1([H])[#8]P(=O)([#8][H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""acid_and_coa_esteriification_to_thioester"",""validation"":true}"
perfect	acyl_to_acyl_coa	[H][#8:3]-[#6:2](-[#6:1])=O>>[H][#8]-[#6](=[#7]C([H])([H])C([H])([H])[#16]-[#6:2](-[#6:1])=[O:3])C([H])([H])C([H])([H])[#7]=[#6](-[#8][H])C([H])([#8][H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8]C([H])([H])C1([H])[#8]C([H])(n2c([H])nc3c(nc([H])nc23)-[#7]([H])[H])C([H])([#8][H])C1([H])[#8]P(=O)([#8][H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""acyl_to_acyl_coa"",""validation"":true}"
perfect	alcohol_phosphorylation	[H][#8:5]-[#6:4]>>[H][#8]P(=O)([#8][H])[#8:5]-[#6:4]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alcohol_phosphorylation"",""validation"":true}"
perfect	phosphate_phosphorylation_to_diphosphate	[H][#8:12]-[#15:11]=[O:14]>>[H][#8]P(=O)([#8][H])[#8:12]-[#15:11]=[O:14]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""phosphate_phosphorylation_to_diphosphate"",""validation"":true}"
perfect	phosphate_guanidinylation	[H][#8:14]-[#15:13]=[O:16]>>[H][#8]-c1nc(=[#7][H])n([H])c2n(c([H])nc12)C1([H])[#8]C([H])(C([H])([H])[#8]P(=O)([#8][H])[#8:14]-[#15:13]=[O:16])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""phosphate_guanidinylation"",""validation"":true}"
perfect	hexose_phosphate_to_nucleotide_sugar	[H][#8:15]-[#15:13]=[O:16]>>[H][#8]C1([H])C([H])([#8]C([H])(C([H])([H])[#8]P(=O)([#8][H])[#8:15]-[#15:13]=[O:16])C1([H])[#8][H])n1c([H])nc2c(nc([H])nc12)-[#7]([H])[H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""hexose_phosphate_to_nucleotide_sugar"",""validation"":true}"
perfect	bromide_hydrolysis_to_alchol	[#6:1]-[#6:5]Br>>[H][#8]-[#6:5]-[#6:1]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""bromide_hydrolysis_to_alchol"",""validation"":true}"
perfect	aldehyde_oxidation_and_phosphorylation_to_acyl_phosphate	[H][#6:4](-[#6:2])=[O:5]>>[H][#8]P(=O)([#8][H])[#8]-[#6:4](-[#6:2])=[O:5]	null	FALSE	null	-1	"{""note"":""This appears to do two reactions: oxidation with NaDP+ and phosphorylation, but there is no ATP source, the phosphate is free phosphate, so it isn't an ARO exactly.  Unusual nature of reaction and unclear thermodynamics for it reduce my confidence"",""confidence"":""med"",""name"":""aldehyde_oxidation_and_phosphorylation_to_acyl_phosphate"",""validation"":true}"
perfect	benzene_oxidation_to_phenol	[c:2]1[c:3][c:4][c:6][c:8][c:49]1>>[#8]-[c:3]1[c:4][c:6][c:8][c:49][c:2]1	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""benzene_oxidation_to_phenol"",""validation"":true}"
perfect	phosphate_glycosidation_with_hexopyranose	[#8:82]-[#15:81]=[O:84]>>[H][#8]C([H])([H])C1([H])[#8]C([H])([#8:82]-[#15:81]=[O:84])C([H])([#8])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""phosphate_glycosidation_with_hexopyranose"",""validation"":true}"
perfect	alcohol_acetylation_to_acetyl_ester	[H][#8:10]-[#6:1]>>[H]C([H])([H])[#6](=O)-[#8:10]-[#6:1]	null	FALSE	null	-1	"{""note"":""This in theory would also include acyl chains with length > 2, but in practice all are acetyl because that is the only 'cofactor' being abstracted out"",""confidence"":""high"",""name"":""alcohol_acetylation_to_acetyl_ester"",""validation"":true}"
perfect	alkane_oxidation_to_alcohol	[#6:11]-[#6:12]>>[#6:11]-[#6:12]-[#8]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alkane_oxidation_to_alcohol"",""validation"":true}"
perfect	alcohol_methylation_to_ether	[H][#8:12]-[#6:1]>>[H]C([H])([H])[#8:12]-[#6:1]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""alcohol_methylation_to_ether"",""validation"":true}"
perfect	alcohol_glycosylation_hexopyranose	[H][#8:17]-[#6:16]>>[H][#8]C([H])([H])C1([H])[#8]C([H])([#8:17]-[#6:16])C([H])([#8][H])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""note"":""mostly glucosyltransferases on primary or secondary alchols"",""confidence"":""high"",""name"":""alcohol_glycosylation_hexopyranose"",""validation"":true}"
perfect	phenol_glucuronidation	[H][#8:11]-[c:10]1[c:9][c:8][c:14][c:13][c:12]1>>[H][#8]-[#6](=O)C1([H])[#8]C([H])([#8:11]-[c:10]2[c:9][c:8][c:14][c:13][c:12]2)C([H])([#8][H])C([H])([#8][H])C1([H])[#8][H]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""phenol_glucuronidation"",""validation"":true}"
perfect	guanidine_hydrolysis_to_urea	[H][#7:10]-[#6:9](-[#7:8])=[#7][H]>>[H][#8]-[#6:9](-[#7:8])=[#7:10]	null	FALSE	null	-1	"{""confidence"":""high"",""name"":""guanidine_hydrolysis_to_urea"",""validation"":true}"
perfect		[H][#7]=[#6:10]-[#7:1]([H])-[#6:2]>>[H][#8]-[#6:10]=[#7:1]-[#6:2]	null	FALSE	null	-1	"{""usero"":""TRUE"",""confidence"":""high"",""validation"":true}"
